,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend
0,MUTHOOTFIN,EQ,2017-05-15,390.7,391.0,396.5,388.5,393.0,392.45,393.38,385865,151790704.55,6893,63660,16.5,2017,5,0.0,Slight or No change
2,MUTHOOTFIN,EQ,2017-05-16,392.45,393.65,400.95,393.25,393.45,394.8,398.01,514200,204657807.2,9938,100880,19.62,2017,5,0.5988023952095967,Slight positive
6,MUTHOOTFIN,EQ,2017-05-17,394.8,396.9,398.0,392.6,394.1,395.15,394.9,311597,123048142.65,6512,116484,37.38,2017,5,0.08865248226950229,Slight or No change
8,MUTHOOTFIN,EQ,2017-05-18,395.15,393.0,395.45,375.1,378.85,379.2,386.45,646434,249811874.3,11171,238171,36.84,2017,5,-4.036441857522455,Among top losers
10,MUTHOOTFIN,EQ,2017-05-19,379.2,395.0,400.9,357.45,381.0,379.15,382.13,3211995,1227388956.65,42906,1193472,37.16,2017,5,-0.01318565400844074,Slight or No change
12,MUTHOOTFIN,EQ,2017-05-22,379.15,382.1,393.95,380.8,386.0,385.45,386.04,1733876,669340270.15,19865,1424301,82.15,2017,5,1.661611499406579,Positive
16,MUTHOOTFIN,EQ,2017-05-23,385.45,386.65,389.75,372.05,381.7,382.85,383.44,915259,350950995.4,34400,453098,49.5,2017,5,-0.6745362563237656,Slight negative
19,MUTHOOTFIN,EQ,2017-05-24,382.85,384.0,395.4,383.5,387.0,386.05,388.48,760640,295493960.35,16850,311133,40.9,2017,5,0.835836489486752,Slight positive
21,MUTHOOTFIN,EQ,2017-05-25,386.05,389.8,393.4,386.85,389.5,389.4,390.29,580979,226749448.15,15465,361210,62.17,2017,5,0.8677632431032256,Slight positive
25,MUTHOOTFIN,EQ,2017-05-26,389.4,393.95,403.4,389.45,399.0,398.9,398.08,891020,354698808.25,18982,407907,45.78,2017,5,2.4396507447354887,Positive
29,MUTHOOTFIN,EQ,2017-05-29,398.9,397.0,398.75,386.65,391.0,391.0,391.49,365945,143263174.15,8549,161197,44.05,2017,5,-1.9804462271245882,Negative
32,MUTHOOTFIN,EQ,2017-05-30,391.0,392.5,396.3,382.5,395.0,395.05,393.63,248705,97896800.8,7024,117282,47.16,2017,5,1.0358056265984628,Positive
34,MUTHOOTFIN,EQ,2017-05-31,395.05,395.1,415.5,394.45,412.7,412.65,410.66,1302071,534714160.35,18580,390110,29.96,2017,5,4.455132261739014,Among top gainers
37,MUTHOOTFIN,EQ,2017-06-01,412.65,412.6,417.95,403.35,409.75,409.95,410.18,987025,404858166.75,21362,545941,55.31,2017,6,-0.6543075245365348,Slight negative
40,MUTHOOTFIN,EQ,2017-06-02,409.95,414.7,432.0,408.7,427.7,428.2,420.37,1522773,640123295.8,24316,657014,43.15,2017,6,4.451762410050009,Among top gainers
43,MUTHOOTFIN,EQ,2017-06-05,428.2,428.0,439.75,426.1,434.0,433.6,433.67,1130544,490279764.5,21349,368350,32.58,2017,6,1.2610929472209431,Positive
46,MUTHOOTFIN,EQ,2017-06-06,433.6,433.65,438.6,422.4,425.25,424.85,432.24,514532,222402736.7,9382,201063,39.08,2017,6,-2.017988929889303,Negative
49,MUTHOOTFIN,EQ,2017-06-07,424.85,425.3,441.6,422.8,440.0,439.2,435.58,629866,274354657.45,11382,170446,27.06,2017,6,3.377662704483919,Among top gainers
52,MUTHOOTFIN,EQ,2017-06-08,439.2,444.0,447.45,433.6,437.0,435.55,441.02,853515,376421420.35,13915,303913,35.61,2017,6,-0.8310564663023601,Slight negative
55,MUTHOOTFIN,EQ,2017-06-09,435.55,438.65,453.3,422.8,447.0,446.7,447.81,1619995,725442350.4,29743,604389,37.31,2017,6,2.559981632418773,Positive
58,MUTHOOTFIN,EQ,2017-06-12,446.7,455.0,455.0,445.4,450.8,449.45,449.93,1531400,689021268.35,22377,733110,47.87,2017,6,0.6156256995746512,Slight positive
60,MUTHOOTFIN,EQ,2017-06-13,449.45,450.75,465.9,449.3,465.1,464.7,460.07,1525493,701839219.6,20158,653830,42.86,2017,6,3.393035932806754,Among top gainers
64,MUTHOOTFIN,EQ,2017-06-14,464.7,465.9,479.4,460.35,475.35,476.9,470.28,1277514,600782957.5,16942,495848,38.81,2017,6,2.625349687970724,Positive
70,MUTHOOTFIN,EQ,2017-06-15,476.9,474.95,481.2,468.85,473.2,472.8,475.08,655299,311319116.75,11969,189019,28.84,2017,6,-0.8597190186621861,Slight negative
73,MUTHOOTFIN,EQ,2017-06-16,472.8,473.2,481.95,470.25,473.0,471.85,475.5,494930,235340581.95,8820,157774,31.88,2017,6,-0.2009306260575272,Slight or No change
