Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,Day_Perc_Change,Trend,lower,avg,upper,Call
2017-06-21,MUTHOOTFIN,EQ,464.8,465.0,465.35,457.1,458.8,459.1,460.45,341056,157040303.05,9846,99785,29.26,2017,6,-1.226333907056798,Negative,416.9071377623814,451.95714285714286,487.0071479519043,Hold Short/Liquidate Buy
2017-06-22,MUTHOOTFIN,EQ,459.1,460.0,464.8,449.2,450.5,451.15,457.14,354938,162254732.75,10543,104375,29.41,2017,6,-1.731648878240044,Negative,421.2937146038643,453.5964285714286,485.89914253899286,Hold Buy/Liquidate Short
2017-06-23,MUTHOOTFIN,EQ,451.15,452.0,453.7,437.9,447.05,447.15,445.2,396801,176655232.4,13813,173780,43.8,2017,6,-0.8866230743655112,Slight negative,424.08177045941085,454.5642857142857,485.04680096916053,Hold Buy/Liquidate Short
2017-06-27,MUTHOOTFIN,EQ,447.15,446.3,447.0,434.8,436.05,436.05,438.6,562976,246923522.4,15970,227130,40.34,2017,6,-2.4823884602482305,Negative,427.7921306250716,455.36428571428576,482.9364408034999,Hold Buy/Liquidate Short
2017-06-28,MUTHOOTFIN,EQ,436.05,436.0,453.55,429.95,445.1,446.15,445.29,745164,331817139.65,26334,149330,20.04,2017,6,2.3162481366815646,Positive,429.3109300312993,455.8607142857143,482.41049854012937,Hold Buy/Liquidate Short
2017-06-29,MUTHOOTFIN,EQ,446.15,449.4,464.4,447.95,462.0,460.1,459.02,830368,381156144.9,12473,297195,35.79,2017,6,3.1267510926818343,Among top gainers,433.7345089928908,457.61428571428576,481.4940624356807,Hold Short/Liquidate Buy
2017-06-30,MUTHOOTFIN,EQ,460.1,458.5,459.8,450.65,456.4,455.15,454.69,327367,148851172.2,8009,55033,16.81,2017,6,-1.075853075418398,Negative,435.11179376470676,458.21785714285716,481.32392052100755,Hold Buy/Liquidate Short
2017-07-03,MUTHOOTFIN,EQ,455.15,458.0,464.7,451.6,456.05,456.55,457.86,438293,200674664.2,9383,135325,30.88,2017,7,0.3075909040975544,Slight or No change,436.14216955806546,458.725,481.3078304419346,Hold Buy/Liquidate Short
2017-07-04,MUTHOOTFIN,EQ,456.55,460.0,462.0,448.0,449.75,450.6,454.74,295595,134418681.95,8448,81269,27.49,2017,7,-1.3032526557879676,Negative,435.0255132240943,457.7178571428571,480.4102010616199,Hold Buy/Liquidate Short
2017-07-05,MUTHOOTFIN,EQ,450.6,454.0,458.0,447.65,452.1,451.15,452.42,301216,136275692.25,4544,115980,38.5,2017,7,0.1220594762538773,Slight or No change,435.8679314016843,455.87857142857143,475.88921145545856,Hold Buy/Liquidate Short
